ABAD| abad. m y f. El que dirige una abadía o monasterio.
ABADESA| abadesa. Ver abad
ABAJO| abajo. adv. En lugar o Parte inferior.
ABANICO| abanico. m. Utensilio para hacer o hacerse aire.
ABARCAR| abarcar. Ir. Rodear con los brazos o las manos.  Rodear,  Alcanzar con la vista.  Tomar o hacer varias cosas al mismo tiempo.  Amer. Acaparar.
ABASTO| abasto. m. Provisión de lo necesario, especialmente víveres.
ABATI| abati. m. Voz de origen guaraní. Maíz.  Aguardiente de maíz.
ABATIR| abatir. tr Derribar. Echar por tierra.  Perder el ánimo.
ABDICAR| abdicar. tr. Renunciar al gobierno de un pueblo. . Renunciar a un Cargo.
ABDOMEN| abdomen. m Vientre, cavidad del Cuerpo que Contiene diversos órganos.
ABECÉ| abecé. m Abecedario..Serie de letras que forman el alfabeto.  Lista en orden alfabético.  fig. Rudimentos o p principios de un conocimiento.
ABEJA| abeja. f.  insecto himenóptero que vive en colmenas y produce miel y cera. fig. Persona muy trabajadora, laboriosa.
ABISMAR| abismar. tr. Hundir en un abismo.  ú. t. c. prnl. Confundir. abatir. Entregarse a la contemplación
ABISMO| abismo. m. Precipicio, algo muy profundo. Infierno.  Cosa inmensa e incomprensible.
ABJURAR| abjurar. tr Renunciar a una opinión o creencia.  Desdecirse con juramento.
ABOCAR| abocar. tr. Asir con la boca.  Sumarse varias personas en encarar un negocio o tarea.
ABOGAR| abogar.  intr. Defender en juicio.  Hablar en favor de otro.
ABOLIR| abolir. tr.(Verbo defectivo)  Suprimir. derogar, dejar sin vigor una costumbre.
ABOLLAR| abollar. Ir Hacer una depresión con un golpe. Adornar con bollos o relieves.
ABOMBAR| abombar. tr Dar forma convexa. Aturdir, Amér del Sur y Méx.  Abombarse significa empezar a corromperse algo.
ABONAR| abonar. tr. Pagar. Echar abonos en la tierra.  Dar  por buena.  Hacer buena alguna cosa.
ABONO| abono. m Acción y efecto de abonar o abonarse. Fianza, garantía.  Sustancia con que se abona la tierra.  Derecho que se adquiere.
ABORDAR| abordar. tr llevar una embarcación con otra.  Atracar una nave a un muelle. Acercarse a alguien para tratar un asunto.  Emprender algo.
ABRA| abra. Bahía no muy extensa. Abertura ancha entre dos montañas.  Amér Espacio desmontado, claro en un bosque.
ABRASAR| abrasar. tr. Reducir a brasas. Quemar. Destruir, consumir, avergonzar. Sentir vivamente amor, ira, ambición. abrasivo  abrasivo, va.  Producto que sirve para desgastar.
ABRAZAR| abrazar. tr. Ceñir con los brazos. Estrechar entre los brazos en señal de cariño. . Comprender, contener. aceptar una  idea.
ABRAZO| abrazo. m. Acción y efecto de estrechar entre los brazos.
ABREVAR| abrevar. Ir. Dar de beber al ganado.
ABRIGO| abrigo. m. Lo que resguarda del frío. Prenda de vestir de invierno. Sitio que protege de los vientos.
ABRIL| abril. m. Cuarto mes del año.
ABROJO| abrojo. m. Planta y Fruto esférico armado de púas. Es de tallos largos y rastreros y perjudicial para los sembrados.
ABSCESO| absceso. m. Acumulación de pus en los tejidos.
ÁBSIDE| ábside. amb. Parte del templo donde está el altar.
ABUELA| abuela. f. Respecto de una persona, madre de su Padre o madre. fig. Mujer anciana.
ABUELO| abuelo. m. Respecto de una persona. el padre de su madre o de su Padre  Ascendiente.  Antepasado.  Hombre anciano.
ABULIA| abulia. f. Falla de voluntad o disminución de la energía.
ABULTAR| abultar. tr Aumentar el bulto de alguna cosa., Aumentar la cantidad. intensidad, grado de alguna cosa.
ABURRIR| aburrir. Ir. Molestar, cansar, fastidiar. Prnl. Cansarse de alguna cosa.
ABUSAR| abusar. intr Usar mal. excesiva, injusta, impropia o indebidamente de algo o de alguien. Tratar deshonestamente a una persona de menor experiencia, fuerza y poder.
ABYECTO| abyecto. adj. Malo, vil. Humillado.
ACÁ| acá. adv. indica un lugar menos determinado que aquí. Admite ciertos grados de comparación, que no puede usarse con el adverbio aquí: acabado  acabado, da. participio de acabar  adj. Terminado, consumado. acabar  acabar tr  Terminar algo.  Concluir. , Apurar, consumir. Matar. Finalizar
ACACIA| acacia. f. Árbol o arbusto de la familia de las mimosáceas de madera bastante dura, hojas compuestas, flores olorosas, en racimo, y fruto en legumbre. De algunas especies fluye la goma arábiga.
ACAECER| acaecer. intr.  Suceder algo.  Efectuarse un hecho.
ACALLAR| acallar.  tr Hacer callar.  Aplacar.  Sosegar.
ACAMPAR| acampar. intr. Instalarse en un lugar descampado, valiéndose o  no de carpa.
ACASO| acaso. rn. Casualidad, suceso imprevisto.
ACCEDER| acceder. tr. Consentir en lo que se pide.
ACCÉSIT| accésit. m. Recompensa inferior inmediata al premio.
ACCESO| acceso. m. Acción de llegar o acercarse.  Entrada o paso. Arrebato o exaltación. accesorio  accesorio, a. adj. Secundario, que depende de lo principal. accidentado  accidentado, da. p. p. de accidentar. adj. Turbado. agitado.  Terreno escabroso.
ACCIÓN| acción. . Electo de hacer. Postura, ademán. 
ACECHAR| acechar. tr. Observar cautelosamente. acéfalo  acéfalo, a. adj. Falto de cabeza.
ACEITE| aceite. m. Grasa líquida que se obtiene del olivo y otras semillas, frutos o animales.
ACELGA| acelga. f. Hortaliza de hojas comestibles. acendrado  acendrado, da. adj. Puro, sin mancha. acendrar  acendrar tr. Depurar. Purificar.
ACENTO| acento. m. Mayor intensidad al pronunciar una sílaba. Modulación dc la voz.
ACEPTAR| aceptar. tr. Recibir voluntariamente lo que se da.  Aprobar.
ACEQUIA| acequia. f. Zanja por donde van las aguas.
ACERA| acera. f. Parte de la calle destinada al tránsito de peatones. acerado  acerado, da. adj. De acero. Fuerte. Penetrante. acerbo  acerbo, ba. adj. Áspero al gusto.
ACERCA| acerca. adv. Cerca. Modo adv.  Acerca de: Sobre lo que se trata.
ACERCAR| acercar. tr. Poner cerca o a menor distancia o tiempo.
ACERO| acero. m Hierro aleado con otros elementos químicos a altas temperaturas. Arma blanca, espada. fig. Animo, brío. acérrimo  acérrimo, ma. ad:. superlativo de acre. Muy agrio.  Vigoroso. tenaz. acertar  acertar tr Dar en el punto deseado.  Adivinar.  Encontrar.
ACERVO| acervo. m. Montón de cosas menudas. Haber que pertenece a varias personas.  Conjunto de cosas morales o materiales acumulados. Tradición o herencia. acético  acético, ca. adj. Perteneciente al vinagre.
ACETONA| acetona. f. Liquido empleado como disolvente de grasas, resinas, etc
ACHACAR| achacar. tr. Atribuir.  Imputar. achacoso  achacoso, sa. adj. Habitualmente enfermo, con dolores. achaparrado  achaparrado, da.  Cosa baja y extendida.  Persona gruesa y de poca estatura.
ACHAQUE| achaque. m. Enfermedad habitual. Indisposiciones. achatar  achatar tr. Poner chata alguna cosa.
ACHICAR| achicar. tr. Disminuir el tamaño.  Extraer el agua de un buque, dique o  mina.. Humillar. achicharrar  achicharrar tr. Freír, asar demasiado.
ACHIQUE| achique. m. Acción y efecto de achicar. achiquillado  achiquillado, da. adj. Aniñado.
ACHIRA| achira. f. Planta sudamericana de tallo nudoso, de flor roja, o amarilla, o jaspeada.  Se cultiva por su valor ornamental.
